country,world_happiness_score,world_happiness_score_scaled,population,PopAge,PopAge_scaled,Internet,Internet_scaled,%PopUnemployed,%PopUnemployed_scaled,GPI,GPI_scaled,Sleep,Sleep_scaled,Workinghours,Workinghours_scaled,Vacationdays,Vacationdays_scaled,Leisure,Leisure_scaled,MentalHealth,MentalHealth_scaled
Croatia,6.13,0.78,4200000.00,64.21,0.77,78.32,0.78,7.51,0.26,1.54,0.42,0.00,0.00,1835.00,0.75,33.00,0.62,0.00,0.00,11.69,0.60
Cyprus,6.22,0.80,800000.00,69.01,0.82,90.80,0.91,7.59,0.26,1.88,0.52,0.00,0.00,1784.00,0.73,34.00,0.64,0.00,0.00,15.70,0.81
Czech Republic,6.92,0.89,11000000.00,64.10,0.76,81.34,0.81,2.55,0.09,1.35,0.37,0.00,0.00,1776.00,0.72,33.00,0.62,0.00,0.00,11.14,0.58
Democratic Republic of the Congo,5.08,0.65,81000000.00,51.19,0.61,12.50,0.13,5.27,0.18,3.18,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.64,0.70
Denmark,7.64,0.98,6000000.00,63.55,0.76,96.55,0.97,5.64,0.19,1.27,0.35,489.00,0.88,1400.00,0.57,36.00,0.68,329.00,0.89,14.10,0.73
Dominican Republic,5.74,0.73,11000000.00,65.03,0.77,75.80,0.76,6.13,0.21,0.00,0.00,0.00,0.00,0.00,0.00,23.00,0.43,0.00,0.00,15.04,0.78
Ecuador,5.53,0.71,17000000.00,65.02,0.77,54.06,0.54,6.11,0.21,2.07,0.57,0.00,0.00,1701.00,0.69,23.00,0.43,0.00,0.00,14.59,0.75
Egypt,4.29,0.55,98000000.00,60.75,0.72,71.91,0.72,9.17,0.31,2.41,0.66,0.00,0.00,0.00,0.00,34.00,0.64,0.00,0.00,14.58,0.75
El Salvador,6.12,0.78,6000000.00,64.76,0.77,50.49,0.50,6.25,0.21,2.17,0.60,0.00,0.00,0.00,0.00,26.00,0.49,0.00,0.00,13.24,0.68
Estonia,6.34,0.81,1300000.00,63.13,0.75,89.06,0.89,6.80,0.23,1.65,0.45,530.00,0.96,1857.00,0.76,31.00,0.58,309.00,0.84,12.20,0.63
Eswatini,4.40,0.56,1160000.00,58.55,0.70,25.64,0.26,25.51,0.87,2.00,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.93,0.62
Ethiopia,4.24,0.54,105000000.00,56.55,0.67,25.00,0.25,3.24,0.11,2.49,0.68,0.00,0.00,0.00,0.00,25.00,0.47,0.00,0.00,12.48,0.64
Finland,7.82,1.00,6000000.00,61.58,0.73,92.17,0.92,7.76,0.27,1.39,0.38,508.00,0.92,1659.00,0.68,36.00,0.68,331.00,0.90,14.96,0.77
France,6.69,0.86,67000000.00,61.59,0.73,83.34,0.83,8.01,0.27,1.90,0.52,513.00,0.93,1514.00,0.62,37.00,0.70,294.00,0.80,16.63,0.86
Gabon,4.96,0.63,2260000.00,59.21,0.71,61.00,0.61,21.97,0.75,2.16,0.59,0.00,0.00,0.00,0.00,34.00,0.64,0.00,0.00,13.11,0.68
Gambia,5.16,0.66,2400000.00,53.52,0.64,51.00,0.51,11.08,0.38,1.91,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.05,0.67
Georgia,4.97,0.64,3700000.00,64.53,0.77,72.53,0.73,18.50,0.63,2.03,0.56,0.00,0.00,0.00,0.00,39.00,0.74,0.00,0.00,11.06,0.57
Germany,7.03,0.90,83000000.00,64.36,0.77,89.81,0.90,3.81,0.13,1.50,0.41,498.00,0.90,1354.00,0.55,30.00,0.57,331.00,0.90,15.00,0.78
Ghana,4.87,0.62,29000000.00,59.73,0.71,53.00,0.53,4.65,0.16,1.76,0.48,0.00,0.00,0.00,0.00,28.00,0.53,0.00,0.00,11.40,0.59
Greece,5.95,0.76,11000000.00,64.06,0.76,78.12,0.78,16.30,0.56,1.87,0.51,500.00,0.90,2017.00,0.82,32.00,0.60,341.00,0.93,17.05,0.88
Guatemala,6.26,0.80,17000000.00,61.62,0.73,44.40,0.44,3.55,0.12,2.20,0.60,0.00,0.00,0.00,0.00,25.00,0.47,0.00,0.00,13.23,0.68
Guinea,4.89,0.63,13000000.00,54.00,0.64,23.00,0.23,6.10,0.21,2.06,0.56,0.00,0.00,0.00,0.00,33.00,0.62,0.00,0.00,11.85,0.61
Honduras,6.02,0.77,9000000.00,64.44,0.77,32.14,0.32,8.37,0.29,2.21,0.61,0.00,0.00,0.00,0.00,19.00,0.36,0.00,0.00,12.71,0.66
Hong Kong,5.43,0.69,7000000.00,69.13,0.82,92.41,0.92,5.83,0.20,0.00,0.00,0.00,0.00,2186.00,0.89,28.00,0.53,0.00,0.00,0.00,0.00
Hungary,6.09,0.78,10000000.00,65.43,0.78,84.77,0.85,4.25,0.15,1.54,0.42,506.00,0.92,1937.00,0.79,33.00,0.62,281.00,0.76,11.31,0.58
Iceland,7.56,0.97,300000.00,64.95,0.77,99.00,0.99,5.48,0.19,1.10,0.30,0.00,0.00,1493.00,0.61,38.00,0.72,312.00,0.85,14.60,0.75
India,3.78,0.48,1340000000.00,67.27,0.80,41.00,0.41,8.00,0.27,2.57,0.70,528.00,0.95,2117.00,0.86,27.00,0.51,254.00,0.69,13.73,0.71
Indonesia,5.24,0.67,264000000.00,67.80,0.81,53.73,0.54,4.28,0.15,1.79,0.49,0.00,0.00,2024.00,0.82,27.00,0.51,0.00,0.00,10.68,0.55
Iran,4.89,0.63,81000000.00,68.69,0.82,84.11,0.84,12.17,0.42,2.65,0.73,0.00,0.00,0.00,0.00,53.00,1.00,0.00,0.00,18.89,0.98
Iraq,4.94,0.63,40000000.00,58.84,0.70,49.36,0.49,14.09,0.48,3.40,0.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.91,0.77
Ireland,7.04,0.90,4700000.00,64.59,0.77,92.00,0.92,5.62,0.19,1.38,0.38,491.00,0.89,1746.00,0.71,30.00,0.57,0.00,0.00,17.61,0.91
Israel,7.36,0.94,9000000.00,59.76,0.71,86.79,0.87,4.33,0.15,2.74,0.75,0.00,0.00,1921.00,0.78,21.00,0.40,0.00,0.00,14.48,0.75
Italy,6.47,0.83,61000000.00,63.71,0.76,76.10,0.76,9.16,0.31,1.63,0.45,513.00,0.93,1723.00,0.70,32.00,0.60,323.00,0.88,15.03,0.78
Ivory Coast,5.24,0.67,26000000.00,55.61,0.66,36.29,0.36,3.49,0.12,2.16,0.59,0.00,0.00,0.00,0.00,34.00,0.64,0.00,0.00,11.19,0.58
Jamaica,5.85,0.75,3000000.00,67.56,0.81,68.22,0.68,9.48,0.32,1.98,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.02,0.72
Japan,6.04,0.77,127000000.00,59.15,0.70,92.73,0.93,2.80,0.10,1.39,0.38,442.00,0.80,1738.00,0.71,31.00,0.58,278.00,0.76,10.58,0.55
Jordan,4.15,0.53,10000000.00,63.19,0.75,66.79,0.67,19.03,0.65,1.92,0.53,0.00,0.00,0.00,0.00,26.00,0.49,0.00,0.00,15.04,0.78
Kazakhstan,6.23,0.80,18000000.00,62.95,0.75,85.94,0.86,4.89,0.17,1.93,0.53,0.00,0.00,0.00,0.00,40.00,0.75,0.00,0.00,10.61,0.55
Kenya,4.54,0.58,50000000.00,58.90,0.70,22.57,0.23,5.73,0.20,2.34,0.64,0.00,0.00,0.00,0.00,28.00,0.53,0.00,0.00,12.34,0.64
Kosovo,6.46,0.83,1800000.00,0.00,0.00,89.44,0.89,0.00,0.00,2.00,0.55,0.00,0.00,0.00,0.00,32.00,0.60,0.00,0.00,0.00,0.00
Kuwait,6.11,0.78,4200000.00,75.50,0.90,98.60,0.99,3.54,0.12,1.70,0.46,0.00,0.00,0.00,0.00,43.00,0.81,0.00,0.00,14.05,0.73
Kyrgyz Republic,5.83,0.75,6000000.00,62.62,0.75,38.20,0.38,8.71,0.30,2.09,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.26,0.58
Lao PDR,5.14,0.66,7200000.00,63.79,0.76,25.51,0.26,1.03,0.04,1.83,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.04,0.62
Latvia,6.18,0.79,2000000.00,62.88,0.75,88.90,0.89,8.10,0.28,1.69,0.46,512.00,0.93,1875.00,0.76,32.00,0.60,269.00,0.73,12.62,0.65
Lebanon,2.96,0.38,4600000.00,67.38,0.80,78.18,0.78,13.30,0.46,2.76,0.76,0.00,0.00,0.00,0.00,37.00,0.70,0.00,0.00,16.44,0.85
Lesotho,3.51,0.45,2100000.00,62.81,0.75,42.30,0.42,24.56,0.84,2.17,0.59,0.00,0.00,0.00,0.00,22.00,0.42,0.00,0.00,13.31,0.69
Liberia,5.12,0.66,5000000.00,56.31,0.67,22.00,0.22,3.98,0.14,1.88,0.52,0.00,0.00,0.00,0.00,21.00,0.40,0.00,0.00,12.49,0.65
Libya,5.33,0.68,6800000.00,67.69,0.81,21.76,0.22,20.07,0.69,3.17,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.40,0.80
Lithuania,6.45,0.82,2900000.00,63.90,0.76,83.06,0.83,8.49,0.29,1.65,0.45,503.00,0.91,1844.00,0.75,34.00,0.64,247.00,0.67,13.25,0.68
Luxembourg,7.40,0.95,600000.00,70.05,0.83,98.82,0.99,6.77,0.23,0.00,0.00,518.00,0.94,1519.00,0.62,43.00,0.81,276.00,0.75,14.91,0.77
Madagascar,4.34,0.56,26000000.00,56.84,0.68,15.00,0.15,2.47,0.08,1.94,0.53,0.00,0.00,0.00,0.00,35.00,0.66,0.00,0.00,13.04,0.67
Malawi,3.75,0.48,19000000.00,54.37,0.65,15.50,0.16,6.70,0.23,1.91,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.65
Malaysia,5.71,0.73,32000000.00,69.37,0.83,89.56,0.90,4.50,0.15,1.55,0.43,0.00,0.00,2238.00,0.91,19.00,0.36,0.00,0.00,12.23,0.63
Mali,4.48,0.57,19000000.00,50.52,0.60,26.00,0.26,7.70,0.26,2.73,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.57,0.55
Malta,6.45,0.82,400000.00,64.30,0.77,86.86,0.87,4.26,0.15,0.00,0.00,0.00,0.00,2040.00,0.83,41.00,0.77,0.00,0.00,15.72,0.81
Mauritania,4.15,0.53,3800000.00,57.14,0.68,20.80,0.21,11.27,0.39,2.26,0.62,0.00,0.00,0.00,0.00,22.00,0.42,0.00,0.00,10.58,0.55
Mauritius,6.07,0.78,1300000.00,70.70,0.84,64.89,0.65,7.41,0.25,1.56,0.43,0.00,0.00,0.00,0.00,38.00,0.72,0.00,0.00,11.86,0.61
Mexico,6.13,0.78,129000000.00,66.55,0.79,71.97,0.72,4.45,0.15,2.57,0.70,499.00,0.90,2255.00,0.92,13.00,0.25,172.00,0.47,12.26,0.63
Moldova,5.86,0.75,3600000.00,71.62,0.85,76.13,0.76,3.82,0.13,1.90,0.52,0.00,0.00,0.00,0.00,20.00,0.38,0.00,0.00,12.80,0.66
Mongolia,5.76,0.74,3000000.00,64.60,0.77,62.50,0.63,7.01,0.24,1.77,0.48,0.00,0.00,0.00,0.00,15.00,0.28,0.00,0.00,11.27,0.58
Montenegro,5.55,0.71,620000.00,66.19,0.79,81.37,0.81,17.90,0.61,1.87,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.63,0.60
Morocco,5.06,0.65,36000000.00,65.63,0.78,84.12,0.84,11.45,0.39,2.05,0.56,0.00,0.00,0.00,0.00,25.00,0.47,0.00,0.00,15.75,0.81
Mozambique,5.05,0.65,30000000.00,53.08,0.63,15.10,0.15,3.81,0.13,2.12,0.58,0.00,0.00,0.00,0.00,19.00,0.36,0.00,0.00,13.37,0.69
Myanmar,4.39,0.56,54000000.00,68.28,0.81,23.62,0.24,1.06,0.04,2.36,0.65,0.00,0.00,2438.00,0.99,24.00,0.45,0.00,0.00,10.89,0.56
Namibia,4.46,0.57,2500000.00,59.57,0.71,40.50,0.41,21.45,0.73,1.89,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.09,0.57
Nepal,5.38,0.69,29000000.00,65.36,0.78,21.40,0.21,4.72,0.16,2.02,0.55,0.00,0.00,0.00,0.00,28.00,0.53,0.00,0.00,13.83,0.71
Netherlands,7.42,0.95,17000000.00,64.26,0.77,91.33,0.91,3.82,0.13,1.52,0.42,503.00,0.91,1430.00,0.58,28.00,0.53,315.00,0.86,16.60,0.86
New Zealand,7.20,0.92,4700000.00,64.20,0.77,90.81,0.91,4.59,0.16,0.00,0.00,526.00,0.95,1752.00,0.71,31.00,0.58,301.00,0.82,19.04,0.98
Nicaragua,6.17,0.79,6600000.00,64.82,0.77,27.86,0.28,6.08,0.21,2.52,0.69,0.00,0.00,0.00,0.00,20.00,0.38,0.00,0.00,13.27,0.69
Niger,5.00,0.64,24000000.00,47.73,0.57,10.22,0.10,0.62,0.02,2.56,0.70,0.00,0.00,0.00,0.00,34.00,0.64,0.00,0.00,11.63,0.60
Nigeria,4.55,0.58,191000000.00,53.77,0.64,33.60,0.34,9.71,0.33,2.78,0.76,0.00,0.00,1827.00,0.74,0.00,0.00,0.00,0.00,10.72,0.55
Norway,7.37,0.94,5000000.00,65.22,0.78,97.00,0.97,4.42,0.15,1.47,0.40,492.00,0.89,1417.00,0.58,35.00,0.66,368.00,1.00,15.98,0.83
Pakistan,4.52,0.58,197000000.00,60.83,0.72,17.07,0.17,4.30,0.15,2.92,0.80,0.00,0.00,2096.00,0.85,29.00,0.55,0.00,0.00,13.08,0.68
Panama,6.31,0.81,4000000.00,64.97,0.77,63.63,0.64,12.85,0.44,1.89,0.52,0.00,0.00,0.00,0.00,40.00,0.75,0.00,0.00,12.19,0.63
Paraguay,5.58,0.71,7000000.00,64.30,0.77,74.52,0.75,7.55,0.26,2.01,0.55,0.00,0.00,0.00,0.00,22.00,0.42,0.00,0.00,15.84,0.82
Peru,5.56,0.71,32000000.00,66.58,0.79,65.25,0.65,7.18,0.25,2.06,0.56,0.00,0.00,1932.00,0.79,42.00,0.79,0.00,0.00,13.82,0.71
Philippines,5.90,0.76,105000000.00,64.45,0.77,46.88,0.47,2.52,0.09,2.43,0.67,0.00,0.00,2149.00,0.88,17.00,0.32,0.00,0.00,11.94,0.62
Poland,6.12,0.78,38000000.00,66.04,0.79,86.84,0.87,3.16,0.11,1.67,0.46,509.00,0.92,2028.00,0.83,36.00,0.68,286.00,0.78,10.60,0.55
Portugal,6.02,0.77,10000000.00,64.17,0.76,78.26,0.78,6.79,0.23,1.24,0.34,506.00,0.92,1863.00,0.76,31.00,0.58,241.00,0.65,18.45,0.95
Republic of North Macedonia,5.20,0.67,2000000.00,69.21,0.82,81.41,0.81,17.20,0.59,1.84,0.50,0.00,0.00,0.00,0.00,32.00,0.60,0.00,0.00,11.34,0.59
Romania,6.48,0.83,20000000.00,65.25,0.78,78.46,0.78,5.03,0.17,1.53,0.42,0.00,0.00,1806.00,0.74,34.00,0.64,0.00,0.00,11.10,0.57
Russia,5.46,0.70,144000000.00,66.13,0.79,85.00,0.85,5.59,0.19,3.00,0.82,0.00,0.00,1974.00,0.80,43.00,0.81,0.00,0.00,11.32,0.59
Rwanda,3.27,0.42,13000000.00,57.41,0.68,26.00,0.26,1.49,0.05,2.00,0.55,0.00,0.00,0.00,0.00,26.00,0.49,0.00,0.00,13.08,0.68
Saudi Arabia,6.52,0.83,33000000.00,71.81,0.86,97.86,0.98,7.45,0.25,2.39,0.66,0.00,0.00,0.00,0.00,30.00,0.57,0.00,0.00,13.70,0.71
Senegal,5.05,0.65,16000000.00,54.30,0.65,39.50,0.40,3.62,0.12,1.87,0.51,0.00,0.00,0.00,0.00,32.00,0.60,0.00,0.00,11.00,0.57
Serbia,6.18,0.79,7000000.00,65.57,0.78,78.37,0.78,9.01,0.31,1.77,0.48,0.00,0.00,0.00,0.00,31.00,0.58,0.00,0.00,11.38,0.59
Sierra Leone,3.57,0.46,8000000.00,56.73,0.68,16.80,0.17,5.20,0.18,1.87,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.33,0.64
Singapore,6.48,0.83,6000000.00,74.35,0.89,75.88,0.76,4.10,0.14,1.30,0.36,444.00,0.80,2238.00,0.91,22.00,0.42,0.00,0.00,13.90,0.72
Slovakia,6.39,0.82,5000000.00,67.75,0.81,89.92,0.90,6.69,0.23,1.58,0.43,0.00,0.00,1745.00,0.71,40.00,0.75,0.00,0.00,11.21,0.58
Slovenia,6.63,0.85,2100000.00,64.13,0.76,86.60,0.87,4.97,0.17,1.35,0.37,501.00,0.91,1655.00,0.67,33.00,0.62,311.00,0.85,11.63,0.60
South Africa,5.19,0.66,57000000.00,65.69,0.78,68.20,0.68,29.22,1.00,2.33,0.64,553.00,1.00,2209.00,0.90,27.00,0.51,306.00,0.83,12.01,0.62
South Korea,5.94,0.76,51000000.00,71.67,0.85,96.51,0.97,3.93,0.13,1.81,0.50,471.00,0.85,2063.00,0.84,35.00,0.66,258.00,0.70,0.00,0.00
South Sudan,6.48,0.83,11200000.00,55.32,0.66,7.98,0.08,14.03,0.48,3.40,0.93,0.00,0.00,0.00,0.00,32.00,0.60,0.00,0.00,13.31,0.69
Spain,4.36,0.56,47000000.00,65.62,0.78,93.21,0.93,15.53,0.53,1.66,0.46,516.00,0.93,1686.00,0.69,33.00,0.62,316.00,0.86,18.32,0.95
